Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,438,000",3+2,4,3,Condominium (Corner),"Built-up : 2,378 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,720,000",3+2,6,3,Condominium (Corner),"Built-up : 2,020 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4,4,,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,280,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 4,200,000",6,5,5,Bungalow,Land area : 5274 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 900,000",6,5,3,3-sty Terrace/Link House (Intermediate),Land area : 20 X 80 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",3+1,4,3,Serviced Residence (Corner),"Built-up : 3,095 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,080,000",2,2,1,Serviced Residence,Built-up : 896 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,150,000",3,2,2,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,070,000",4+1,4,4,Condominium (EndLot),"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 930,000",4,3,2,Condominium (EndLot),"Built-up : 1,513 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",,,,,,,
"Bangsar South, Kuala Lumpur","RM 780,000",2,2,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 4,098,000",3+1,3,2,Serviced Residence (Intermediate),"Built-up : 2,066 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",,,,,,,
"KL City, Kuala Lumpur","RM 1,800,000",2,2,1,Serviced Residence (Duplex),"Built-up : 1,244 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,600,000",4+2,6,,Condominium (Corner),"Built-up : 4,090 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,5,2,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 4,000,000",3+1,3,2,Condominium (Intermediate),"Built-up : 2,250 sq. ft.",Fully Furnished
"Ampang Hilir, Kuala Lumpur","RM 4,800,000",5,6,3,Condominium,"Built-up : 4,300 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 3,780,000",4+1,5,4,Condominium (Corner),"Built-up : 3,628 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur",,,,,,,
"Bangsar South, Kuala Lumpur","RM 850,000",2+1,2,1,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",3+1,4,,Condominium,"Built-up : 2,347 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,698,800",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,227 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 999,000",4+1,4,2,3-sty Terrace/Link House (Intermediate),"Built-up : 2,512 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 3,500,000",1,1,1,Serviced Residence,"Built-up : 1,648 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,500,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,022 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence (Intermediate),"Built-up : 1,023 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,830,000",3+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur","RM 750,000",4,3,3,2-sty Terrace/Link House,Land area : 24 X 75 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 580,000",4+1,2,2,Condominium (Corner),"Built-up : 1,550 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,000,000",3+1,3,3,Serviced Residence,"Built-up : 2,066 sq. ft.",
"Mont Kiara, Kuala Lumpur","RM 2,180,000",4+1,4,3,Condominium (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 2,030,000",3+1,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,450,000",4+1,6,3,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished
"KL City, Kuala Lumpur",,,,,,,
"City Centre, Kuala Lumpur","RM 4,080,000",4+1,5,2,Condominium (Corner),"Built-up : 3,713 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,880,000",4+1,3,4,2-sty Terrace/Link House (Corner),Land area : 4244 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,799,000",1,1,1,Serviced Residence,Built-up : 720 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 1,820,000",2+1,2,2,Condominium (Corner),"Built-up : 1,159 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,650,000",3+1,5,2,Condominium (Corner),"Built-up : 1,905 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,2,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,400,000",4+1,5,3,Condominium,Land area : 2702 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,055,000",1+1,1,1,Serviced Residence (Intermediate),Built-up : 797 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,714,000",1,1,1,Serviced Residence (Intermediate),Built-up : 700 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 620,000",3,2,,Condominium (Intermediate),"Built-up : 1,232 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,720,000",6+1,7,,2.5-sty Terrace/Link House (Intermediate),Land area : 3033 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur","RM 2,300,000",3+1,4,3,Serviced Residence (Corner),"Built-up : 3,282 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 920,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,2,Serviced Residence (Intermediate),"Built-up : 1,046 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,995,000",5+1,7,6,Bungalow,Land area : 8113 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,630,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",4+1,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 1,783,000",2,2,1,Condominium,Built-up : 976 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,180,000",3+1,4,1,Condominium (Intermediate),"Built-up : 1,942 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",,,,,,,
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 1,700,000",2+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,442 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 850,000",1,2,,Serviced Residence,Built-up : 761 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur",,,,,,,
"Damansara Heights, Kuala Lumpur","RM 6,800,000",5+2,7,,Bungalow,Land area : 7000 sq. ft.,
"Mont Kiara, Kuala Lumpur","RM 3,100,000",4+1,6,3,Condominium (Corner),"Built-up : 3,400 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 630,000",2,2,2,Serviced Residence,Built-up : 791 sq. ft.,Partly Furnished
"Jalan Sultan Ismail, Kuala Lumpur",,,,,,,
"Kepong, Kuala Lumpur","RM 2,040,000",5+1,5,4,2.5-sty Terrace/Link House (Intermediate),Land area : 32 x 75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,780,000",1,1,1,Serviced Residence (Corner),Built-up : 728 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,850,000",3+1,3,,3-sty Terrace/Link House (Intermediate),"Built-up : 3,211 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,050,000",2+1,2,2,Condominium,"Built-up : 1,389 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,600,000",4+1,4,3,Condominium,"Built-up : 3,041 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 630,000",1+1,1,1,Serviced Residence,Built-up : 663 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,364,000",2+1,2,2,Serviced Residence,"Built-up : 1,399 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 978,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,000,000",1,1,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,630,000",4+1,4,2,Condominium,"Built-up : 2,065 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",,,,,,,
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,280,000",4,3,3,2-sty Terrace/Link House (Intermediate),Land area : 25x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur",,,,,,,
"Bangsar South, Kuala Lumpur","RM 630,000",1+1,1,1,Serviced Residence,Built-up : 650 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,350,000",2,2,1,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 490,000",1,1,1,Serviced Residence (Intermediate),Built-up : 500 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur",,,,,,,
"Bangsar South, Kuala Lumpur","RM 800,000",2,2,1,Serviced Residence (Corner),Built-up : 825 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,980,000",3+1,4,,2-sty Terrace/Link House,"Built-up : 2,200 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,035,000",3+1,5,2,Condominium,"Built-up : 1,853 sq. ft.",Unknown
"KL Sentral, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 657 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 448,800",3,3,1,Serviced Residence (Intermediate),"Built-up : 1,045 sq. ft.",Unfurnished
"Damansara Heights, Kuala Lumpur","RM 4,900,000",5+1,6,,Semi-detached House,Land area : 3700 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,5,3,Condominium (Corner),"Built-up : 3,041 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,716,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,227 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,480,000",3+1,3,,Condominium (Corner),"Built-up : 1,544 sq. ft.",Fully Furnished
"Country Heights Damansara, Kuala Lumpur","RM 9,500,000",6+1,7,6,Bungalow (Corner),Land area : 10000 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 8,343,600",3,3,2,Condominium (Intermediate),"Built-up : 2,454 sq. ft.",
"Taman Desa, Kuala Lumpur","RM 500,000",2,2,1,Serviced Residence (Corner),Built-up : 715 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 13,800,000",5+1,7,3,Bungalow (Corner),Land area : 7500 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,490,000",5,5,,3-sty Terrace/Link House (Corner),Land area : 38x75 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,300,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x83 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",,,,,,,
"KLCC, Kuala Lumpur","RM 3,600,000",4,4,,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,5,3,Condominium,"Built-up : 3,041 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 3,500,000",3,3,1,Serviced Residence,"Built-up : 1,560 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,200,000",4,4,2,Condominium,"Built-up : 2,243 sq. ft.",
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,380,000",4,3,2,2-sty Terrace/Link House,Land area : 24x75 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,500,000",4+1,6,,3-sty Terrace/Link House (EndLot),Land area : 22x75 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,060,000",4+1,4,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,3,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,850,000",3,1,1,Condominium (Corner),"Built-up : 2,174 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 668,000",3+1,3,3,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,050,000",2+2,3,2,Serviced Residence (Intermediate),"Built-up : 1,313 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 509,000",2,2,1,Serviced Residence,Built-up : 797 sq. ft.,
"Desa ParkCity, Kuala Lumpur","RM 3,170,000",4+1,5,,3-sty Terrace/Link House (Intermediate),"Built-up : 4,306 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,400,000",5+1,6,,3-sty Terrace/Link House (Intermediate),"Built-up : 5,448 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 2,998,000",3+1,3,2,Condominium (Intermediate),"Built-up : 3,218 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,580,000",3+1,3,2,Condominium (Intermediate),"Built-up : 2,809 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 5,600,000",7+1,9,,3.5-sty Terrace/Link House (Intermediate),"Built-up : 7,000 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,260,000",2+1,3,,Condominium (Intermediate),"Built-up : 1,485 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 4,950,000",5+2,7,,3.5-sty Terrace/Link House (Intermediate),Land area : 33x85 sq. ft.,Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 1,990,000",3+1,4,,2-sty Terrace/Link House (Intermediate),"Built-up : 2,500 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 920,000",5,3,,2-sty Terrace/Link House (EndLot),Land area : 20 x 80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,100,000",4,4,,Condominium (Intermediate),"Built-up : 2,441 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",2,2,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,3,2,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,900,000",3+1,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 670,000",3,2,2,Condominium,"Built-up : 1,085 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 820,000",,4,3,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 1,370,000",3+1,3,,Condominium,"Built-up : 1,572 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 3,480,000",4+1,5,,3-sty Terrace/Link House (Corner),Land area : 3450 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,350,000",2,2,2,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",2,2,1,Condominium,Built-up : 915 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",2,2,2,Serviced Residence (Corner),"Built-up : 1,090 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",Studio,1,,Condominium (Studio),Built-up : 657 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",1,1,1,Serviced Residence,Built-up : 925 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,630,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,100,000",4,3,3,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,
"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",6,5,3,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,050,000",4+1,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,200,000",5+1,4,4,Condominium,"Built-up : 1,930 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 2,251,800",2+1,4,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 998,000",5+1,5,4,3-sty Terrace/Link House (EndLot),Land area : 1650 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,550,000",3+1,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 780,000",3,3,2,Condominium (Corner),"Built-up : 1,368 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,380,000",2,2,2,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,798,000",3+1,3,2,3-sty Terrace/Link House (Intermediate),"Built-up : 2,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,300,000",1,1,1,Serviced Residence,Built-up : 925 sq. ft.,
"KLCC, Kuala Lumpur","RM 1,268,000",3,3,1,Condominium (Corner),"Built-up : 1,619 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,600,000",3+1,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 4,200,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,330,000",2+1,3,1,Serviced Residence (Corner),"Built-up : 2,789 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,600,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,184 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,950,000",1+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,050,000",3,2,2,1-sty Terrace/Link House (Intermediate),Land area : 24x80 sq. ft.,
"Sentul, Kuala Lumpur","RM 900,000",3+1,4,3,Condominium,"Built-up : 1,381 sq. ft.",
"Kepong, Kuala Lumpur","RM 638,000",3+1,2,4,1.5-sty Terrace/Link House (EndLot),Land area : 27x70 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,400,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,050 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur","RM 850,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 6,500,000",6,5,4,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,800,000",4,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 3,800,000",4+1,5,4,Bungalow (Corner),"Built-up : 4,067 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 350,000",1,1,1,Apartment,Built-up : 495 sq. ft.,
"KLCC, Kuala Lumpur","RM 3,600,000",3+2,5,2,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Unknown
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,790,000",4,3,,2-sty Terrace/Link House (Intermediate),Land area : 22 x 95 sq. ft.,Partly Furnished
